wiktionary-cldr-merge	spa	http://wiktionary.org/	CC BY-SA
00507464-a	spa:lemma	compatible	
00509206-a	spa:lemma	incompatible	
00510348-a	spa:lemma	diestro	
00510348-a	spa:lemma	hábil	
00510348-a	spa:lemma	capaz	
00515380-a	spa:lemma	entero	
00515380-a	spa:lemma	total	
00520214-a	spa:lemma	completo	
00521329-a	spa:lemma	logrado	
00521329-a	spa:lemma	realizado	
00521329-a	spa:lemma	cumplido	
00521329-a	spa:lemma	consumado	
00522463-a	spa:lemma	exhaustivo	
00523978-a	spa:lemma	incompleto	
00524693-a	spa:lemma	parcial	
00525453-a	spa:lemma	completo	
00525453-a	spa:lemma	exhaustivo	
00528167-a	spa:lemma	plenario	
00529657-a	spa:lemma	calmado	
00529657-a	spa:lemma	tranquilo	
00531628-a	spa:lemma	avergonzado	
00533452-a	spa:lemma	entendible	
00533851-a	spa:lemma	incomprensible	
00534250-a	spa:lemma	obscuro	
00535452-a	spa:lemma	cóncavo	
00537169-a	spa:lemma	umbilicado	
00537339-a	spa:lemma	convexo	
00537745-a	spa:lemma	lenticular	
00540487-a	spa:lemma	difuso	
00543117-a	spa:lemma	coaxial	
00543200-a	spa:lemma	excéntrico	
00544478-a	spa:lemma	obsesionado	
00546646-a	spa:lemma	conciso	
00546646-a	spa:lemma	breve	
00546646-a	spa:lemma	sucinto	
00547166-a	spa:lemma	conciso	
00547166-a	spa:lemma	sucinto	
00547317-a	spa:lemma	sucinto	
00548316-a	spa:lemma	conciso	
00548316-a	spa:lemma	lacónico	
00548316-a	spa:lemma	sucinto	
00548781-a	spa:lemma	pedante	
00548781-a	spa:lemma	sabihondo	
00548781-a	spa:lemma	sabidillo	
00549236-a	spa:lemma	verboso	
00550574-a	spa:lemma	definitivo	
00550574-a	spa:lemma	decisivo	
00553279-a	spa:lemma	dispuesto	
00553732-a	spa:lemma	unánime	
00556318-a	spa:lemma	provisional	
00557813-a	spa:lemma	conductivo	
00561600-a	spa:lemma	congruente	
00566342-a	spa:lemma	contiguo	
00566961-a	spa:lemma	adosado	
00566961-a	spa:lemma	colindante	
00573093-a	spa:lemma	subconsciente	
00576680-a	spa:lemma	consistente	
00581401-a	spa:lemma	invisible	
00581401-a	spa:lemma	disimulado	
00581401-a	spa:lemma	desapercibido	
00583581-a	spa:lemma	fiel	
00583581-a	spa:lemma	leal	
00583581-a	spa:lemma	firme	
00584403-a	spa:lemma	postizo	
00584626-a	spa:lemma	inconstante	
00584626-a	spa:lemma	voluble	
00584626-a	spa:lemma	pendular	
00585202-a	spa:lemma	creativo	
00586183-a	spa:lemma	destructivo	
00587376-a	spa:lemma	cáustico	
00587376-a	spa:lemma	corrosivo	
00587890-a	spa:lemma	negativo	
00589344-a	spa:lemma	satisfecho	
00589448-a	spa:lemma	ufano	
00589448-a	spa:lemma	engreído	
00589448-a	spa:lemma	petulante	
00589624-a	spa:lemma	descontento	
00593374-a	spa:lemma	esporádico	
