wiktionary-cldr-merge	sme	http://wiktionary.org/	CC BY-SA
08962187-n	sme:lemma	Madagaskar	
08961970-n	sme:lemma	Madagaskar	
08839092-n	sme:lemma	Marshallsullot	
08838887-n	sme:lemma	Marshallsullot	
08915372-n	sme:lemma	Makedonia	
08961630-n	sme:lemma	Makedonia	
08915372-n	sme:lemma	Makedonia	
08961630-n	sme:lemma	Makedonia	
08965598-n	sme:lemma	Mali	
08715390-n	sme:lemma	Burma	
08968879-n	sme:lemma	Mongolia	
08968677-n	sme:lemma	Mongolia	
08731423-n	sme:lemma	Makáo	
08731423-n	sme:lemma	Makáo	
08837864-n	sme:lemma	Davvi-Mariánat	
08943242-n	sme:lemma	Martinique	
08966820-n	sme:lemma	Mauretánia	
08711300-n	sme:lemma	Montserrat	
08966408-n	sme:lemma	Málta	
08966239-n	sme:lemma	Málta	
08967329-n	sme:lemma	Mauritius	
08967484-n	sme:lemma	Mauritius	
08965055-n	sme:lemma	Malediivvat	
08965251-n	sme:lemma	Malediivvat	
08962610-n	sme:lemma	Malawi	
08963369-n	sme:lemma	Malesia	
08971025-n	sme:lemma	Mosambik	
08844108-n	sme:lemma	Ođđa-Kaledonia	
08973330-n	sme:lemma	Niger	
08835188-n	sme:lemma	Norfolksullot	
08973776-n	sme:lemma	Nigeria	
08738820-n	sme:lemma	Nicaragua	
08906374-n	sme:lemma	Nepal	
08841483-n	sme:lemma	Nauru	
08841209-n	sme:lemma	Nauru	
08971914-n	sme:lemma	Ođđa-Selánda	
08972521-n	sme:lemma	Ođđa-Selánda	
08975106-n	sme:lemma	Oman	
08739206-n	sme:lemma	Panama	
08979054-n	sme:lemma	Peru	
08989697-n	sme:lemma	Frankriikka	
08844557-n	sme:lemma	Papua-Ođđa-Guinea	
08981244-n	sme:lemma	Filippiinnat	
08980300-n	sme:lemma	Filippiinnat	
08975902-n	sme:lemma	Pakistan	
08752814-n	sme:lemma	Puerto	
08752974-n	sme:lemma	Puerto	
08984788-n	sme:lemma	Portugála	
08977948-n	sme:lemma	Palau	
08978161-n	sme:lemma	Palau	
08978343-n	sme:lemma	Paraguay	
08986905-n	sme:lemma	Qatar	
08986691-n	sme:lemma	Qatar	
08813978-n	sme:lemma	Románia	
08816969-n	sme:lemma	Serbia	
09003284-n	sme:lemma	Ruošša	
09006413-n	sme:lemma	Ruošša	
09002814-n	sme:lemma	Ruošša	
09007723-n	sme:lemma	Ruošša	
08815046-n	sme:lemma	Rwanda	
08993288-n	sme:lemma	Saudi-Arábia	
08997976-n	sme:lemma	Salomon-sullot	
08998233-n	sme:lemma	Salomon-sullot	
08996284-n	sme:lemma	Seychellsullot	
08996483-n	sme:lemma	Seychellsullot	
09029242-n	sme:lemma	Sudan	
09029457-n	sme:lemma	Sudan	
08997487-n	sme:lemma	Singapore	
08997310-n	sme:lemma	Singapore	
08997801-n	sme:lemma	Singapore	
08818444-n	sme:lemma	Slovenia	
08759013-n	sme:lemma	Slovákia	
08996871-n	sme:lemma	Sierra	
08992181-n	sme:lemma	San	
08992508-n	sme:lemma	San	
08995862-n	sme:lemma	Senegal	
08998560-n	sme:lemma	Somália	
09030752-n	sme:lemma	Surinam	
08738272-n	sme:lemma	El	
09033333-n	sme:lemma	Syria	
09031233-n	sme:lemma	Svazieana	
08720037-n	sme:lemma	Tčad	
08759986-n	sme:lemma	Togo	
09036452-n	sme:lemma	Thaieana	
09020961-n	sme:lemma	Tažikistan	
08776435-n	sme:lemma	Nuorta-Timor	
08776435-n	sme:lemma	Nuorta-Timor	
09021503-n	sme:lemma	Turkmenistan	
09037394-n	sme:lemma	Tunisia	
09037133-n	sme:lemma	Tonga	
08756202-n	sme:lemma	Trinidad	
08840374-n	sme:lemma	Tuvalu	
08840200-n	sme:lemma	Tuvalu	
09014979-n	sme:lemma	Ukraina	
09043052-n	sme:lemma	Uganda	
09160295-n	sme:lemma	Uruguay	
09022265-n	sme:lemma	Usbekistan	
09161452-n	sme:lemma	Vatikána	
08989031-n	sme:lemma	Saint	
09161803-n	sme:lemma	Venezuela	
09163192-n	sme:lemma	Vietnam	
09160775-n	sme:lemma	Vanuatu	
08991182-n	sme:lemma	Samoa	
08991491-n	sme:lemma	Samoa	
09164561-n	sme:lemma	Jemen	
09165613-n	sme:lemma	Zambia	
09167101-n	sme:lemma	Zimbabwe	
15210045-n	sme:lemma	ođđj	
15210486-n	sme:lemma	guov	
15210870-n	sme:lemma	njuk	
15211189-n	sme:lemma	cuo	
15211484-n	sme:lemma	mies	
15211806-n	sme:lemma	geas	
15212167-n	sme:lemma	suoi	
15212455-n	sme:lemma	borg	
15212739-n	sme:lemma	čakč	
15213115-n	sme:lemma	golg	
15213406-n	sme:lemma	skáb	
15213774-n	sme:lemma	juov	
15210045-n	sme:lemma	ođđajagemánnu	
