wiktionary-cldr-merge	tam	http://wiktionary.org/	CC BY-SA
05311054-n	tam:lemma	கண்	
05320899-n	tam:lemma	காது	
05320899-n	tam:lemma	செவி	
05332802-n	tam:lemma	சிறுநீரக	
05385161-n	tam:lemma	பித்தப்பை	
05385534-n	tam:lemma	கல்லீரல்	
05387167-n	tam:lemma	கணையம்	
05387544-n	tam:lemma	நுரையீரல்	
05388805-n	tam:lemma	இதயம்	
05395690-n	tam:lemma	இரைப்பை	
05399847-n	tam:lemma	குருதி	
05404336-n	tam:lemma	விந்து	
05406570-n	tam:lemma	பித்தநீர்	
05407119-n	tam:lemma	புலங்கள்	
05416198-n	tam:lemma	உமிழ்நீர்	
05474346-n	tam:lemma	நரம்பு	
05481095-n	tam:lemma	மூளை	
05515287-n	tam:lemma	சூலகம்	
05517406-n	tam:lemma	விதைப்பை	
05519085-n	tam:lemma	கருப்பை	
05520699-n	tam:lemma	பனிக்குடம்	
05521111-n	tam:lemma	யோனி	
05521111-n	tam:lemma	பெண்குறி	
05521111-n	tam:lemma	புண்டை	
05524615-n	tam:lemma	அண்டம்	
05526384-n	tam:lemma	ஆண்	
05526384-n	tam:lemma	குறி	
05526713-n	tam:lemma	ஆண்குறி	
05526957-n	tam:lemma	சூப்பி	
05538016-n	tam:lemma	சூத்து	
05538016-n	tam:lemma	எச்சவாய்	
05538016-n	tam:lemma	குதம்	
05538016-n	tam:lemma	சூறு	
05538016-n	tam:lemma	பீடம்	
05538016-n	tam:lemma	பீறு	
05538016-n	tam:lemma	பூறு	
05538016-n	tam:lemma	பொச்சு	
05538016-n	tam:lemma	கண்ணாணி	
05538625-n	tam:lemma	தலை	
05546540-n	tam:lemma	கழுத்து	
05547508-n	tam:lemma	தொண்டை	
05549576-n	tam:lemma	அக்குள்	
05554804-n	tam:lemma	சிற்றிடம்	
05555688-n	tam:lemma	இடுப்பு	
05556595-n	tam:lemma	தொப்புள்	
05556943-n	tam:lemma	வயிறு	
05556943-n	tam:lemma	தொப்பை	
05556943-n	tam:lemma	தொந்தி	
05559256-n	tam:lemma	குண்டி	
05560787-n	tam:lemma	கால்	
05562249-n	tam:lemma	தொடை	
05563770-n	tam:lemma	கை	
05564590-n	tam:lemma	கை	
05566504-n	tam:lemma	விரல்	
05578095-n	tam:lemma	குதிக்கால்	
05579944-n	tam:lemma	முழங்கை	
05598147-n	tam:lemma	மூக்கு	
05599617-n	tam:lemma	நாடி	
05600637-n	tam:lemma	முகம்	
05602683-n	tam:lemma	நெற்றி	
05650579-n	tam:lemma	கவனம்	
05650579-n	tam:lemma	நாட்டம்	
05650820-n	tam:lemma	மொழி	
05650820-n	tam:lemma	பாசை	
05733583-n	tam:lemma	மதிப்பீடு	
05753564-n	tam:lemma	கல்வி	
05760202-n	tam:lemma	ஞாபகம்	
05768553-n	tam:lemma	கனவு	
05769062-n	tam:lemma	அமுக்கி	
05833840-n	tam:lemma	எண்ணம்	
05967191-n	tam:lemma	மனிதநேயம்	
