wiktionary-cldr-merge	bod	http://wiktionary.org/	CC BY-SA
08852389-n	bod:lemma	བོཙ་ཝ་ན།	
09011151-n	bod:lemma	བེ་ལུ་རུ་སུ།	
08737521-n	bod:lemma	བེ་ལིཛ།	
08820121-n	bod:lemma	ཁེ་ན་ཌ།	
09031653-n	bod:lemma	ཧྲུད་ཧྲི།	
08736517-n	bod:lemma	ཀོ་ཊེ་ཌི།	
08720481-n	bod:lemma	ཅི་ལི།	
08717209-n	bod:lemma	ཀ་མེ་རུན།	
08732116-n	bod:lemma	ཀོ་ལོམ་བི་ཡ།	
08736107-n	bod:lemma	ཀོ་ས྄ཊ་རི་ཀ།	
08750151-n	bod:lemma	ཁྱུའུ་བ།	
08750334-n	bod:lemma	ཁྱུའུ་བ།	
08756735-n	bod:lemma	སཱཡེ་པ་རས྄།	
08756884-n	bod:lemma	སཱཡེ་པ་རས྄།	
08757264-n	bod:lemma	ཅཻག་སྤྱི་མཐུན་རྒྱལ་ཁབ།	
08766988-n	bod:lemma	འཇར་མན་	
08762823-n	bod:lemma	ཛི་བུ་ཏི།	
08762495-n	bod:lemma	ཛི་བུ་ཏི།	
08761244-n	bod:lemma	ཌེན་མཱརྐ།	
08763193-n	bod:lemma	ཌོ་མིན་ནི་ཀ།	
08763010-n	bod:lemma	ཌོ་མིན་ནི་ཀ།	
08752021-n	bod:lemma	ཌོ་མིནནི་ཀན་སྤྱི་མཐུན་རྒྱལ་ཁབ།	
08705397-n	bod:lemma	ཨལ་ཇི་རི་ཡ།	
08776687-n	bod:lemma	ཨི་ཁྭ་ཌོར།	
09012297-n	bod:lemma	ཨིསྟོ་ནི་ཡ།	
08896831-n	bod:lemma	ཨི་ཇིབྚ།	
08897065-n	bod:lemma	ཨི་ཇིབྚ།	
08777544-n	bod:lemma	ཨེ་རི་ཏྲེ་ཨ།	
09023321-n	bod:lemma	སི་པན།	
08778061-n	bod:lemma	ཨི་ཐིའོ་པི་ཡ།	
08779504-n	bod:lemma	ཕིན་ལན྄ཌ།	
08779149-n	bod:lemma	ཕི་ཇི།	
08718391-n	bod:lemma	ཕལྐ་ལནྜ་གླིང་ཕྲན།	
08929922-n	bod:lemma	ཕ་རཱན་སི།	
08945529-n	bod:lemma	གེ་བཽན།	
08860123-n	bod:lemma	དབྱིན་ཇི་	
